"","Temp","Humidity","Precipitation","Pressure","Wind","Visibility","Temp_AA","Precipitation_AA","Events"
"2015-01-01",1.0,37.0,0.0,1018.0,11.0,16.0,0.0,-3.05,""
"2015-01-02",4.0,43.0,0.0,1023.0,11.0,16.0,3.0,-3.05,""
"2015-01-03",3.0,68.0,18.03,1030.0,10.0,7.0,2.0,14.98,"Rain Snow"
"2015-01-04",9.0,88.0,7.62,1012.0,10.0,9.0,8.0,4.57,"Rain"
"2015-01-05",2.0,38.0,0.0,1020.0,17.0,16.0,1.0,-3.05,""
"2015-01-06",-6.0,57.0,1.27,1024.0,7.0,9.0,-7.0,-2.03,"Snow"
"2015-01-07",-9.0,49.0,0.0,1017.0,20.0,16.0,-10.0,-3.05,""
"2015-01-08",-9.0,48.0,0.0,1027.0,14.0,16.0,-10.0,-2.79,""
"2015-01-09",-3.0,57.0,1.78,1018.0,14.0,10.0,-3.0,-1.5199999999999998,"Snow"
"2015-01-10",-7.0,41.0,0.0,1031.0,13.0,16.0,-7.0,-3.05,""
"2015-01-11",-2.0,38.0,0.0,1036.0,10.0,16.0,-2.0,-3.05,""
"2015-01-12",3.0,64.0,9.14,1024.0,6.0,8.0,3.0,5.840000000000002,"Rain"
"2015-01-13",-3.0,61.0,0.0,1033.0,14.0,16.0,-3.0,-3.05,""
"2015-01-14",-4.0,56.0,0.0,1029.0,10.0,16.0,-4.0,-3.05,""
"2015-01-15",-1.0,55.0,0.0,1018.0,8.0,16.0,-1.0,-3.3,""
"2015-01-16",0.0,45.0,0.0,1014.0,16.0,15.0,0.0,-3.05,""
"2015-01-17",-4.0,41.0,0.0,1027.0,10.0,16.0,-4.0,-3.05,""
"2015-01-18",3.0,77.0,53.34,1012.0,6.0,6.0,3.0,50.55,"Fog Rain"
"2015-01-19",4.0,62.0,0.0,1009.0,12.0,16.0,4.0,-3.05,""
"2015-01-20",2.0,47.0,0.0,1013.0,9.0,16.0,2.0,-2.79,""
"2015-01-21",-1.0,38.0,0.0,1020.0,7.0,16.0,-1.0,-3.05,""
"2015-01-22",2.0,56.0,0.0,1023.0,9.0,11.0,2.0,-3.05,""
"2015-01-23",1.0,50.0,0.0,1023.0,9.0,15.0,1.0,-2.79,""
"2015-01-24",2.0,71.0,18.29,1001.0,10.0,6.0,2.0,15.5,"Fog Rain Snow"
"2015-01-25",3.0,48.0,0.0,1008.0,10.0,16.0,3.0,-2.79,""
"2015-01-26",-3.0,61.0,12.19,1012.0,21.0,5.0,-4.0,9.4,"Fog Snow"
"2015-01-27",-4.0,66.0,9.14,1006.0,13.0,7.0,-5.0,6.3500000000000005,"Fog Snow"
"2015-01-28",-4.0,45.0,0.0,1018.0,12.0,16.0,-5.0,-2.79,""
"2015-01-29",-2.0,52.0,0.51,1022.0,6.0,14.0,-3.0,-2.28,"Snow"
"2015-01-30",-2.0,63.0,1.52,1013.0,17.0,10.0,-3.0,-1.27,"Snow"
"2015-01-31",-7.0,41.0,0.0,1020.0,20.0,16.0,-8.0,-3.05,""
"2015-02-01",-2.0,66.0,0.76,1020.0,6.0,11.0,-3.0,-2.03,"Snow"
"2015-02-02",-4.0,80.0,25.91,1002.0,16.0,5.0,-5.0,23.12,"Fog Rain Snow"
"2015-02-03",-7.0,60.0,0.0,1023.0,12.0,15.0,-8.0,-2.79,""
"2015-02-04",1.0,56.0,0.0,1021.0,7.0,15.0,0.0,-2.54,""
"2015-02-05",-2.0,50.0,0.0,1016.0,14.0,16.0,-3.0,-2.79,""
"2015-02-06",-7.0,43.0,0.0,1022.0,12.0,16.0,-8.0,-2.79,""
"2015-02-07",1.0,61.0,0.51,1019.0,6.0,12.0,0.0,-2.28,"Snow"
"2015-02-08",1.0,74.0,0.0,1013.0,14.0,9.0,0.0,-2.79,""
"2015-02-09",-3.0,75.0,2.29,1015.0,18.0,15.0,-4.0,-0.25,""
"2015-02-10",1.0,59.0,0.25,1017.0,17.0,15.0,0.0,-2.54,"Snow"
"2015-02-11",-2.0,50.0,0.0,1016.0,10.0,16.0,-3.0,-2.54,""
"2015-02-12",-2.0,55.0,2.96,1009.0,12.0,12.0,-4.0,-0.5,"Snow"
"2015-02-13",-9.0,41.0,0.0,1019.0,15.0,16.0,-11.0,-2.54,""
"2015-02-14",-4.0,54.0,0.51,1005.0,9.0,10.0,-6.0,-2.28,"Snow"
"2015-02-15",-9.0,58.0,2.96,1007.0,24.0,14.0,-11.0,-0.5,"Snow"
"2015-02-16",-11.0,38.0,0.0,1021.0,11.0,16.0,-13.0,-3.05,""
"2015-02-17",-6.0,57.0,3.56,1013.0,8.0,8.0,-8.0,0.77,"Snow"
"2015-02-18",-3.0,55.0,2.96,1009.0,7.0,13.0,-5.0,-0.5,"Snow"
"2015-02-19",-8.0,40.0,0.0,1009.0,18.0,16.0,-10.0,-2.79,""
"2015-02-20",-12.0,39.0,0.0,1024.0,17.0,16.0,-14.0,-2.79,""
"2015-02-21",-5.0,59.0,15.49,1027.0,7.0,7.0,-7.0,12.7,"Fog Rain Snow"
"2015-02-22",3.0,71.0,2.54,1021.0,5.0,8.0,1.0,-0.25,"Rain Snow"
"2015-02-23",-5.0,45.0,0.0,1026.0,18.0,16.0,-8.0,-3.05,""
"2015-02-24",-10.0,47.0,0.0,1022.0,9.0,16.0,-13.0,-3.05,""
"2015-02-25",-2.0,49.0,0.0,1011.0,10.0,16.0,-5.0,-2.79,""
"2015-02-26",-3.0,46.0,0.0,1016.0,11.0,15.0,-6.0,-3.05,""
"2015-02-27",-4.0,41.0,0.0,1029.0,10.0,16.0,-7.0,-3.05,""
"2015-02-28",-6.0,40.0,0.0,1041.0,6.0,16.0,-9.0,-3.05,""
"2015-03-01",-2.0,56.0,13.21,1031.0,4.0,7.0,-5.0,9.91,"Fog Snow"
"2015-03-02",1.0,55.0,0.0,1021.0,13.0,13.0,-2.0,-3.05,""
"2015-03-03",-1.0,62.0,17.02,1023.0,8.0,9.0,-5.0,13.97,"Rain Snow"
"2015-03-04",4.0,81.0,6.35,1011.0,10.0,8.0,0.0,3.05,"Rain"
"2015-03-05",-1.0,75.0,19.3,1020.0,9.0,3.0,-5.0,16.0,"Fog Rain Snow"
"2015-03-06",-7.0,48.0,0.0,1031.0,10.0,15.0,-11.0,-3.3,""
"2015-03-07",-2.0,47.0,0.0,1022.0,8.0,16.0,-6.0,-3.3,""
"2015-03-08",6.0,44.0,0.0,1018.0,8.0,16.0,2.0,-3.56,""
"2015-03-09",8.0,41.0,0.25,1021.0,8.0,16.0,4.0,-3.05,"Rain"
"2015-03-10",8.0,67.0,11.68,1022.0,6.0,9.0,4.0,8.379999999999999,"Rain"
"2015-03-11",11.0,61.0,0.25,1015.0,11.0,11.0,6.0,-3.05,"Rain"
"2015-03-12",6.0,27.0,0.0,1029.0,13.0,16.0,1.0,-3.3,""
"2015-03-13",3.0,38.0,0.0,1034.0,10.0,16.0,-2.0,-3.05,""
"2015-03-14",8.0,73.0,20.57,1016.0,9.0,9.0,2.0,17.01,"Rain"
"2015-03-15",4.0,67.0,0.0,1009.0,18.0,16.0,-2.0,-3.56,""
"2015-03-16",7.0,49.0,0.0,1013.0,6.0,16.0,1.0,-3.56,""
"2015-03-17",8.0,49.0,0.51,1005.0,16.0,15.0,2.0,-3.3,"Rain"
"2015-03-18",1.0,35.0,0.0,1017.0,15.0,16.0,-5.0,-3.56,""
"2015-03-19",2.0,32.0,0.0,1025.0,9.0,16.0,-4.0,-3.81,""
"2015-03-20",1.0,58.0,10.16,1024.0,13.0,7.0,-6.0,6.35,"Fog Snow"
"2015-03-21",3.0,75.0,2.96,1017.0,9.0,8.0,-4.0,-0.5,""
"2015-03-22",2.0,41.0,0.0,1017.0,12.0,16.0,-5.0,-3.81,""
"2015-03-23",-1.0,35.0,0.0,1023.0,11.0,16.0,-8.0,-4.06,""
"2015-03-24",2.0,33.0,0.0,1027.0,6.0,16.0,-5.0,-3.81,""
"2015-03-25",6.0,57.0,1.27,1027.0,7.0,14.0,-1.0,-2.54,"Rain"
"2015-03-26",11.0,88.0,8.13,1010.0,5.0,7.0,3.0,4.32,"Rain"
"2015-03-27",6.0,69.0,6.86,1007.0,7.0,15.0,-2.0,2.8000000000000007,"Rain"
"2015-03-28",1.0,56.0,2.96,1011.0,12.0,15.0,-7.0,-0.5,"Snow"
"2015-03-29",2.0,40.0,0.0,1022.0,10.0,16.0,-6.0,-3.81,""
"2015-03-30",7.0,50.0,2.96,1012.0,13.0,14.0,-1.0,-0.5,"Snow"
"2015-03-31",5.0,65.0,4.32,1010.0,9.0,14.0,-4.0,0.5100000000000002,"Rain"
"2015-04-01",6.0,52.0,0.0,1017.0,8.0,16.0,-3.0,-4.06,""
"2015-04-02",12.0,32.0,0.0,1020.0,10.0,16.0,3.0,-4.06,""
"2015-04-03",17.0,62.0,1.02,1008.0,11.0,13.0,8.0,-3.04,"Rain"
"2015-04-04",11.0,56.0,0.25,1008.0,16.0,14.0,2.0,-3.81,"Rain"
"2015-04-05",11.0,43.0,0.0,1021.0,8.0,16.0,2.0,-4.06,""
"2015-04-06",12.0,56.0,0.0,1024.0,7.0,16.0,2.0,-3.81,""
"2015-04-07",11.0,66.0,3.81,1024.0,11.0,13.0,1.0,-0.2499999999999996,"Rain"
"2015-04-08",5.0,66.0,0.0,1026.0,18.0,15.0,-5.0,-3.81,""
"2015-04-09",4.0,81.0,0.0,1026.0,14.0,14.0,-7.0,-4.06,""
"2015-04-10",9.0,90.0,4.32,1014.0,7.0,7.0,-2.0,0.0,"Rain"
"2015-04-11",11.0,48.0,0.0,1015.0,14.0,16.0,0.0,-4.06,""
"2015-04-12",13.0,39.0,0.0,1025.0,5.0,16.0,2.0,-4.06,""
"2015-04-13",15.0,43.0,0.0,1025.0,7.0,16.0,4.0,-4.06,""
"2015-04-14",16.0,50.0,0.25,1020.0,6.0,16.0,4.0,-3.81,""
"2015-04-15",17.0,27.0,0.0,1022.0,10.0,16.0,5.0,-3.81,""
